query,page,clicks,impressions,ctr_percent,position
суши панда симферополь,https://pandasushi.od.ua/,0,1,0.00,13.0
суши панда южный,https://pandasushi.od.ua/,0,8,0.00,7.1
суши фонтанка,https://pandasushi.od.ua/,0,4,0.00,31.0
сушипанда,https://pandasushi.od.ua/,0,1,0.00,1.0
сушия одесса,https://pandasushi.od.ua/,0,1,0.00,36.0
суші в одесі,https://pandasushi.od.ua/,0,3,0.00,34.3
суші доставка одеса,https://pandasushi.od.ua/,0,6,0.00,29.8
суші одеса доставка,https://pandasushi.od.ua/,0,9,0.00,25.6
суші одеса замовити,https://pandasushi.od.ua/,0,4,0.00,38.0
суші панда,https://pandasushi.od.ua/,0,5,0.00,8.8
суші панда вінниця,https://pandasushi.od.ua/,0,1,0.00,19.0
сущи панда,https://pandasushi.od.ua/,0,1,0.00,9.0
